000001| Programming in C| Lucas Walker| Self-help| 1998| 49
000002| Mastering Chess| Emily Davis| Programming| 1991| 3
000003| Data Structures & Algorithms| Emma Clark| History| 2021| 32
000004| Artificial Intelligence Basics| James Anderson| Strategy| 2008| 17
000005| Mystery of the Lost Island| Lucas Walker| Fantasy| 2009| 40
000006| Science and Future| Emma Clark| Cooking| 2008| 18
000007| The Road to Success| Alice Johnson| Fiction| 1996| 24
000008| Psychology and Mind| Elizabeth White| Strategy| 2018| 37
000009| The Art of War| Alice Johnson| Cooking| 2000| 44
000010| Data Structures & Algorithms| Emily Davis| Psychology| 1991| 30
000011| The Art of War| James Anderson| Fantasy| 2008| 2
000012| Mystery of the Lost Island| Sophia Martinez| Mystery| 1990| 30
000013| Cooking for Beginners| Alice Johnson| History| 2018| 4
000014| The Great Adventure| Lucas Walker| Strategy| 1993| 9
000015| Mastering Chess| William Wilson| Self-help| 2011| 45
000016| The Great Adventure| Emma Clark| Programming| 2015| 39
000017| Mystery of the Lost Island| Emma Clark| Fiction| 1992| 10
000018| Beyond the Horizon| David Harris| Adventure| 2017| 16
000019| History of Ancient Civilizations| Michael Thomas| Strategy| 1995| 16
000020| The Art of War| Daniel Lewis| Adventure| 2007| 34
000021| The Art of War| Michael Thomas| Education| 2021| 6
000022| The Road to Success| Sophia Martinez| History| 2024| 15
000023| Mastering Chess| William Wilson| Self-help| 2021| 23
000024| The Secret of the Old Castle| Olivia Taylor| Self-help| 1997| 38
000025| The Secret of the Old Castle| Emily Davis| Strategy| 2019| 40
000026| Programming in C| Robert Brown| Cooking| 2021| 37
000027| Science and Future| John Smith| Mystery| 2006| 43
000028| Science and Future| Lucas Walker| Programming| 2003| 37
000029| The Art of War| Sophia Martinez| Self-help| 2002| 42
000030| A Journey to the Stars| Robert Brown| Psychology| 2013| 21
000031| Beyond the Horizon| Michael Thomas| Psychology| 1998| 32
000032| Artificial Intelligence Basics| Emma Clark| Education| 2003| 1
000033| A Journey to the Stars| Sophia Martinez| Programming| 2021| 33
000034| Cooking for Beginners| Daniel Lewis| Mystery| 2013| 38
000035| Data Structures & Algorithms| John Smith| Education| 2023| 17
000036| History of Ancient Civilizations| Emma Clark| Programming| 2005| 32
000037| Artificial Intelligence Basics| John Smith| Adventure| 2014| 48
000038| Science and Future| Emily Davis| Mystery| 2008| 32
000039| The Art of War| Emma Clark| History| 2020| 31
000040| The Road to Success| Sophia Martinez| Programming| 1997| 3
000041| Data Structures & Algorithms| David Harris| History| 2023| 12
000042| A Journey to the Stars| William Wilson| Education| 2002| 27
000043| Programming in C| David Harris| Mystery| 1992| 25
000044| The Road to Success| John Smith| Cooking| 2008| 2
000045| The Road to Success| Alice Johnson| Cooking| 2015| 12
